event,ms_since_first_fire,count
txvalid_burst,15240,2000
snapshot_confirmed,48,1
snapshot_confirmed,130,4
snapshot_confirmed,320,10
snapshot_confirmed,809,27
snapshot_confirmed,1715,71
snapshot_confirmed,1839,100
snapshot_confirmed,2263,30
snapshot_confirmed,3225,63
snapshot_confirmed,3344,100
snapshot_confirmed,3727,38
snapshot_confirmed,4771,55
snapshot_confirmed,4895,100
snapshot_confirmed,5260,46
snapshot_confirmed,6184,56
snapshot_confirmed,6478,100
snapshot_confirmed,7035,66
snapshot_confirmed,7845,82
snapshot_confirmed,7954,100
snapshot_confirmed,8331,18
snapshot_confirmed,9396,56
snapshot_confirmed,9574,100
snapshot_confirmed,10102,51
snapshot_confirmed,11171,71
snapshot_confirmed,11286,100
snapshot_confirmed,11668,29
snapshot_confirmed,12672,57
snapshot_confirmed,12803,100
snapshot_confirmed,13256,44
snapshot_confirmed,14222,67
snapshot_confirmed,14353,100
snapshot_confirmed,14761,34
snapshot_confirmed,15245,60
snapshot_confirmed,15323,64
